Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Maruti,Maruti Celerio,2016,ZXI AMT,Automatic,46100,1,Petrol,MH-01,9007,460699,Maharashtra
Maruti,Maruti Celerio,2016,VXI CNG,Manual,75183,1,Petrol + CNG,MH-05,8997,460199,Maharashtra
Maruti,Maruti Celerio,2019,ZXI,Manual,49333,1,Petrol + CNG,MH-05,9863,504499,Maharashtra
Honda,Honda Jazz,2017,1.2 SV MT,Manual,44178,1,Petrol,MH-05,10569,540599,Maharashtra
Maruti,Maruti Ciaz,2015,ZXI PLUS,Manual,89538,1,Petrol,MH-01,11562,591399,Maharashtra
Maruti,Maruti Dzire,2018,VXI AMT,Automatic,79437,1,Petrol,MH-47,11987,613149,Maharashtra
Ford,Ford Ecosport,2016,1.5 TREND TI VCT,Manual,39489,1,Petrol,MH-03,11480,587199,Maharashtra
Hyundai,Hyundai Creta,2016,1.6 S,Manual,13826,1,Petrol,MH-43,16347,870499,Maharashtra
Tata,Tata Harrier,2019,XZ 2.0L Kryotec,Manual,50011,1,Diesel,MH-04,27645,1472099,Maharashtra
Maruti,Maruti Celerio,2018,VXI CNG OPT,Manual,36700,1,Petrol + CNG,MH-05,10567,540499,Maharashtra
Volkswagen,Volkswagen Vento,2014,HIGHLINE PETROL,Manual,83207,2,Petrol,MH-02,8452,432299,Maharashtra
Mahindra,Mahindra XUV500,2021,W11 AT,Automatic,8690,1,Diesel,MH-04,37502,1996999,Maharashtra
Volkswagen,Volkswagen Polo,2017,GT TSI 1.2 PETROL AT,Automatic,76366,2,Petrol,MH-01,12690,649099,Maharashtra
Maruti,Maruti Baleno,2019,ALPHA 1.2 K12,Manual,34171,2,Petrol,MH-04,11875,607399,Maharashtra
Maruti,Maruti IGNIS,2018,SIGMA 1.2 K12,Manual,41299,1,Petrol,MH-04,8453,432399,Maharashtra
Hyundai,Hyundai Elite i20,2017,ASTA 1.2,Manual,28473,2,Petrol,MH-04,12057,616699,Maharashtra
Maruti,Maruti S Cross,2015,ZETA 1.3,Manual,58070,1,Diesel,MH-43,13130,671599,Maharashtra
Hyundai,Hyundai GRAND I10 NIOS,2020,SPORTZ PETROL,Manual,10826,2,Petrol,MH-01,12803,654899,Maharashtra
Ford,Ford Ecosport,2016,1.5 TITANIUM TI VCT AT,Automatic,23433,1,Petrol,MH-47,14004,716299,Maharashtra
Hyundai,Hyundai Xcent,2014,S 1.2,Manual,49645,2,Petrol,MH-02,7415,379299,Maharashtra
Honda,Honda City,2022,ZX MT PETROL,Manual,4940,1,Petrol,MH-01,27793,1479999,Maharashtra
